XXXXXXXXXXXXXXXZZ9999999999999999B19999999
BOB - DYLAN    CA0000000020191211B20000000
BIRKNER        IA0000000120190601B30000001
CHING CHONG    CA9999999920150909B10000001
HERNANDEZ      NM0000000119980815B39999999
FREEMAN        CT9999999999999999B10000000
QUERVO         FL0000000099999999B29999999
LESTER         MO0000000199999999B30000000
MUHAMED        NY0000000020010911B10000001
XXXXXXXXXXXXXXXZZ9999999999999999P19999999
BOB - DYLAN    CA0000000020191211P20000000
BIRKNER        IA0000000120190601P30000001
CHING CHONG    CA9999999920150909P10000001
HERNANDEZ      NM0000000119980815P39999999
FREEMAN        CT9999999999999999P10000000
QUERVO         FL0000000099999999P29999999
LESTER         MO0000000199999999P30000000
MUHAMED        NY0000000020010911P10000001
GEORGE         NJ0250000020110904P10500000
XXXXXXXXXXXXXXXZZ9999999999999999S19999999
BOB - DYLAN    CA0000000020191211S20000000
BIRKNER        IA0000000120190601S30000001
CHING CHONG    CA9999999920150909S10000001
HERNANDEZ      NM0000000119980815S39999999
FREEMAN        CT9999999999999999S10000000
QUERVO         FL0000000099999999S29999999
LESTER         MO0000000199999999S30000000
MUHAMED        NY0000000020010911S10000001
POTTER         DW0125000020110904S10500000
XXXXXXXXXXXXXXXZZ9999999999999999J19999999
BOB - DYLAN    CA0000000020191211J20000000
BIRKNER        IA0000000120190601J30000001
CHING CHONG    CA9999999920150909J10000001
HERNANDEZ      NM0000000119980815J39999999
FREEMAN        CT9999999999999999J10000000
QUERVO         FL0000000099999999J29999999
LESTER         MO0000000199999999J30000000
MUHAMED        NY0000000020010911J10000001
DURSLEY        PN0800000019980614J20001500
XXXXXXXXXXXXXXXZZ9999999999999999C19999999
BOB - DYLAN    CA0000000020191211C20000000
BIRKNER        IA0000000120190601C30000001
CHING CHONG    CA9999999920150909C10000001
HERNANDEZ      NM0000000119980815C39999999
FREEMAN        CT9999999999999999C10000000
QUERVO         FL0000000099999999C29999999
LESTER         MO0000000199999999C30000000
MUHAMED        NY0000000020010911C10000001
BILL           MO1000000020110904C11500000
XXXXXXXXXXXXXXXZZ9999999999999999R19999999
BOB - DYLAN    CA0000000020191211R20000000
BIRKNER        IA0000000120190601R30000001
CHING CHONG    CA9999999920150909R10000001
HERNANDEZ      NM0000000119980815R39999999
FREEMAN        CT9999999999999999R10000000
QUERVO         FL0000000099999999R29999999
LESTER         MO0000000199999999R30000000
MUHAMED        NY0000000020010911R10000001
VAN VELSOR     IA0700000020191216R30500000
